MSE_pos,MSE_rot,RMSE_pos,RMSE_rot,LAT,hidden_dim,epochs,batch_size,dropout,layers
0.08759085083007813,3.1182882351223986,0.10915873199701309,11.869719177875664,0.1,1000,1000,4096,0.0,1
0.08963809204101562,5.310220739482229,0.1408521682024002,12.773257901662525,0.1,500,800,8192,0.15,3
0.09510158284505209,4.054182892952154,0.12583275139331818,12.077350832849348,0.1,800,600,1024,0.0,1
0.05031821695963542,2.9748621532793047,0.06518322229385376,11.75904278602344,0.1,800,800,4096,0.0,1
0.09246293131510416,4.13962252404739,0.14062108099460602,12.482498720558466,0.1,800,1000,2048,0.0,1
0.07408548990885416,3.308378208004134,0.0936165526509285,11.987678746846095,0.1,1000,800,8192,0.0,1
0.061959696451822914,3.0356659250162994,0.08770301192998886,11.751435537875514,0.1,400,1000,4096,0.0,1
0.4438412272135417,9.299205734505959,0.5930295586585999,18.703428179994475,0.1,500,800,2048,0.15,4
0.16877389526367187,7.1957534561277345,0.20048461854457855,13.398671551909601,0.1,1000,600,1024,0.0,1
0.08773947143554688,4.312034174905874,0.12092220783233643,13.043200250807017,0.1,800,800,1024,0.0,1
0.05013863118489583,2.9400354173982044,0.06976369768381119,11.79855841082304,0.1,600,800,4096,0.0,1
0.16216926066080728,7.856723774969845,0.24353832006454468,16.006780077942487,0.1,500,800,8192,0.15,4
0.11271783447265625,5.1693451536623165,0.13411444425582886,13.23826527687942,0.1,800,1000,1024,0.0,1
0.09671596272786458,3.866311175131477,0.1466042846441269,12.186179384976498,0.1,400,800,1024,0.0,1
0.08053387451171876,3.530343731663992,0.10224934667348862,11.944403162187427,0.1,800,600,4096,0.0,1
0.056650797526041664,3.1131891647012186,0.07320511341094971,11.88889685166336,0.1,400,800,8192,0.0,1
0.11207479858398438,5.36334910284755,0.17710766196250916,12.974720252280461,0.1,500,800,4096,0.1,3
0.04695086161295573,3.236844589810284,0.06488127261400223,11.980611663199872,0.1,600,800,8192,0.0,1
0.05775941467285156,3.365845404201976,0.06500906497240067,11.972968902093193,0.1,1000,800,4096,0.0,1
0.310998291015625,14.71331287003624,0.36352038383483887,19.650997669008383,0.1,1000,1000,1024,0.0,1
0.10756716918945312,5.10274804218658,0.1495538055896759,12.229357548948537,0.1,500,800,8192,0.1,3
0.08562038167317708,3.92009002911188,0.10165874660015106,12.05607125190427,0.1,600,1000,4096,0.0,1
0.040622578938802084,3.0097907937130133,0.06039309501647949,11.830375003527507,0.1,600,600,8192,0.0,1
0.141419921875,4.156158994436695,0.19537058472633362,12.186309664336921,0.1,1000,600,2048,0.0,1
0.04737760416666666,3.4183214029504305,0.06701651215553284,12.137982247930369,0.1,800,1000,8192,0.0,1
0.08413406880696614,3.357541184149443,0.10028348118066788,11.894087176073858,0.1,800,1000,4096,0.0,1
0.12494263712565104,3.653797691831492,0.17018215358257294,11.934024096059513,0.1,800,600,2048,0.0,1
0.10963521321614583,3.4826456355944617,0.1560450941324234,11.812762757295113,0.1,400,600,2048,0.0,1
0.22880881754557292,7.488800063908961,0.3174281120300293,14.911817202405748,0.1,500,800,4096,0.15,4
0.2473199462890625,9.552226038577295,0.31993016600608826,17.790196726790448,0.1,500,800,2048,0.1,4
0.17230574544270832,6.009570105634746,0.24121041595935822,12.854869572609015,0.1,500,800,2048,0.1,3
0.15108286539713542,4.338937574358258,0.17984804511070251,12.16165088295432,0.1,500,800,2048,0.1,2
0.24131644694010418,7.130747823249686,0.31940603256225586,13.894980216265628,0.1,100,800,2048,0.2,3
0.1928509724934896,7.239264638599171,0.2771051526069641,14.352299070796226,0.1,100,800,2048,0.1,4
0.09408428955078126,3.985440436826727,0.135111004114151,11.811126917815935,0.1,500,800,2048,0.2,2
0.044974787394205726,3.3365449718475864,0.09493642300367355,11.987359630098592,0.1,200,1000,4096,0.0,1
