MSE_pos,MSE_rot,RMSE_pos,RMSE_rot,LAT,hidden_dim,epochs,batch_size,dropout,layers
0.16493832644762949,6.382177365997515,0.20919440686702728,9.73976123717368,0.1,600,600,1024,0.0,1
0.11076121700736216,3.971339601928316,0.16433651745319366,7.859478833342413,0.1,400,600,1024,0.0,1
0.13102742818961466,4.98087422682201,0.2050601840019226,8.127279799830445,0.1,200,600,1024,0.0,1
0.13371015021277152,5.999090892538514,0.17126959562301636,9.509010946755232,0.1,800,1000,1024,0.0,1
0.07291197557696324,3.311243083836635,0.15957386791706085,8.501802172582913,0.1,64,1000,2048,0.0,1
0.065428606509764,2.8133305062998226,0.11464598774909973,7.623706846016441,0.1,200,600,4096,0.0,1
0.04577670372219612,2.6699498855852815,0.106509730219841,7.885418237982262,0.1,200,1000,8192,0.0,1
0.08457789982769423,4.462207395473123,0.12766745686531067,8.070877228627031,0.1,800,800,1024,0.0,1
0.14944346339481515,4.577009140931593,0.1951219141483307,7.806256165480562,0.1,1000,800,2048,0.0,1
0.13898151751448934,3.408722858087938,0.16125349700450897,7.648962061970363,0.1,800,600,4096,0.0,1
0.10828361798049813,3.38178490236514,0.1649368405342102,8.153160736326825,0.1,600,1000,1024,0.0,1
0.06130137559066938,2.904599674493383,0.12101931869983673,7.6370218732621105,0.1,64,1000,8192,0.0,1
0.07190237148861738,3.4223776465652382,0.1460312455892563,7.895381328084826,0.1,40,1000,8192,0.0,1
0.131624960839599,4.886090205578685,0.20523609220981598,8.173947344667875,0.1,48,1000,1024,0.0,1
0.04758952944698987,2.42132196707104,0.07573341578245163,7.615650154061607,0.1,400,1000,8192,0.0,1
0.11220026996201442,4.1021210274182565,0.16065995395183563,8.889663659362311,0.1,1000,800,1024,0.0,1
0.09073734140037594,3.1439651573639895,0.17093904316425323,7.534659413934109,0.1,200,800,2048,0.0,1
0.13380521616541352,3.343715866817031,0.1925649344921112,7.2541632910816345,0.1,400,800,2048,0.0,1
0.12571761434837092,3.8586287439735854,0.18388020992279053,8.548745492586567,0.1,600,800,1024,0.0,1
0.06524748455611686,3.030882568979613,0.12873104214668274,8.208680432476902,0.1,56,1000,8192,0.0,1
0.0755350901668233,3.859576097990762,0.1244608461856842,8.619300548105201,0.1,1000,1000,1024,0.0,1
0.05897468687996032,2.3662800403529505,0.08503177762031555,7.253980312580793,0.1,600,600,8192,0.0,1
0.05274150341674499,2.3611766394671663,0.08495719730854034,7.017495988238986,0.1,400,600,8192,0.0,1
0.08466880498772975,3.311192504240809,0.10698186606168747,7.174305617584115,0.1,400,800,4096,0.0,1
0.23955416699300333,6.5293477305662595,0.3005097508430481,10.217291361043806,0.1,400,1000,1024,0.0,1
0.12816967753041458,3.8354748802852323,0.18402403593063354,7.703236698032311,0.1,32,1000,2048,0.0,1
0.05470738614113409,2.45206331647727,0.10002542287111282,7.3218228498733176,0.1,400,1000,4096,0.0,1
0.09949598320345134,3.814594487996806,0.1590961366891861,8.568195898297596,0.1,40,1000,2048,0.0,1
0.06690161377565006,2.6167169017841028,0.11460789293050766,7.165572778327314,0.1,200,800,4096,0.0,1
0.034299922168703006,2.1804127945538383,0.05729658529162407,7.357202755665775,0.1,600,1000,8192,0.0,1
0.08783657548819966,2.7576947449711464,0.14534801244735718,6.994577385384753,0.1,600,600,2048,0.0,1
0.11108947091034879,3.6310249840406796,0.17496585845947266,7.502590768534976,0.1,800,800,2048,0.0,1
0.18517778822055136,4.14441743517466,0.2180715799331665,8.697043293089601,0.1,500,800,2048,0.1,2
0.1616819453418703,4.436104913508271,0.23185771703720093,10.012915848441859,0.1,100,800,2048,0.1,2
0.18787524638418965,8.294194783394186,0.2787416875362396,14.828994997754457,0.1,500,800,4096,0.1,4
0.137197200357665,5.0844227037468555,0.20796942710876465,12.150595539317994,0.1,500,800,8192,0.15,3
0.05220969191370353,2.641211246115194,0.06609854847192764,7.482549029532438,0.1,1000,600,4096,0.0,1
0.04185346381905284,2.921973258036582,0.06142455339431763,8.776042612354853,0.1,1000,1000,8192,0.0,1
0.08170965540478801,3.939416036196025,0.10337850451469421,9.634611263476149,0.1,500,800,8192,0.2,2
0.20839458264802632,7.092438006323836,0.3322400450706482,14.13681331548697,0.1,500,800,4096,0.2,4
0.14696540545700187,4.770155352385968,0.2297857701778412,11.529258007778331,0.1,500,800,4096,0.1,3
0.2044402999686717,4.971002973598148,0.3087732493877411,10.890395298352624,0.1,100,800,2048,0.2,2
0.251336185515873,7.797708415311158,0.3547559380531311,15.051096121551236,0.1,500,800,4096,0.15,4
0.2072481007205514,7.488272418051167,0.292356014251709,14.161425983503625,0.1,500,800,2048,0.15,4
0.1246394387661863,4.211770400669032,0.1530114859342575,9.840786989894156,0.1,500,800,4096,0.15,2
0.1770751545204156,6.727915730585137,0.2737993896007538,14.247893163784731,0.1,500,800,8192,0.15,4
0.28059850962040517,8.078783929484834,0.4068543314933777,14.80822442042245,0.1,100,800,2048,0.25,4
0.20437058629647034,4.553649589939108,0.2730426788330078,11.253082710611558,0.1,500,800,4096,0.25,3
