mae_euc,mae_ang,mae_geo,rmse_euc,rmse_ang,rmse_geo,LAT,epochs,hidden_dim,batch_size,model,seq_length_input,lr,lr_reducing,lr_epochs,lr_multiplicator,weight_decay
0.049570992145748546,25.73374759302544,3.792150594540615,0.05689122343230152,29.528842813872966,9.908344825260487,0.1,500,512,256,gru-bi1,20,0.0001,True,50,0.5,5e-13
0.051425170899750135,17.430739281208144,2.8781481250805196,0.06314640627979227,22.709811612204952,9.946179046894857,0.1,500,256,128,gru-bi1,20,0.0001,True,70,0.5,2e-12
0.05289093413605817,24.05150255538922,3.6349470487835194,0.06256067902929646,27.689040005867174,9.9365512530278,0.1,500,512,256,gru-bi1,20,0.0001,True,50,0.5,1e-11
0.0617328871878469,24.50852038974292,3.6794364649611615,0.0722081315148766,28.72851692962106,10.135244159952316,0.1,500,256,128,gru-bi1,20,0.0001,True,50,0.5,2e-12
0.03129888762212807,26.722371883697246,3.988331599497366,0.03729901289398122,30.06556211349113,10.756163617498817,0.1,500,1024,512,gru-bi1,20,0.0001,True,50,0.5,8e-13
0.05200671325410333,21.413728104962136,3.4231292277102896,0.06037042474247315,25.82922407094265,9.719594943766577,0.1,500,512,256,gru-bi1,20,0.0001,True,50,0.5,1e-14
0.03860029019235904,28.377601043912936,3.9723885645327774,0.05276861733329828,31.183542020833823,10.720210259613443,0.1,500,512,512,gru-bi1,20,0.0001,True,70,0.5,8e-13
0.037385219046587766,31.5594820276345,4.524261319078581,0.05097248547277268,33.6739571683046,10.741388377981707,0.1,500,2048,1024,gru-bi1,20,0.0001,True,50,0.5,3e-12
0.13232202252501205,22.53348031904231,5.659508429591274,0.14897537374984654,26.031369215878403,10.579297074404698,0.1,500,1024,512,gru-bi1,20,0.0001,True,600,0.5,1e-12
0.058934376835681826,24.575107295050024,3.2820685503309894,0.06723852087328293,28.309170177182672,9.359192653268398,0.1,500,256,128,gru-bi1,20,0.0001,True,50,0.5,3e-12
0.041723164078082596,20.88415407300876,3.3772838828566267,0.05255390525608342,25.56906633719075,10.471414395313772,0.1,500,512,256,gru-bi1,20,0.0001,True,70,0.5,5e-13
0.045998950594730685,25.284940394975525,3.706096519606432,0.05165370600200533,28.19360504220968,10.68375785822472,0.1,500,512,512,gru-bi1,20,0.0001,True,70,0.5,1e-12
0.03673541916466182,17.56809714929828,3.2095744960099726,0.044389789933793604,21.141739156528185,9.770435098576776,0.1,500,512,256,gru-bi1,20,0.0001,True,70,0.5,3e-12
0.05950196122744208,21.934908405915266,3.2009794801721014,0.06928387678029964,26.114815744853484,9.324819841639044,0.1,500,256,128,gru-bi1,20,0.0001,True,50,0.5,1e-13
0.04003762321273457,30.848382805937938,4.565062113497501,0.04620297875897725,34.56083700689429,10.55940381165601,0.1,500,1024,512,gru-bi1,20,0.0001,True,50,0.5,1e-12
0.060418081022193065,23.987964720712924,3.5904016026333077,0.07324707397049693,28.138829806975554,9.600680287702447,0.1,500,256,128,gru-bi1,20,0.0001,True,50,0.5,9e-13
0.04955018912289768,18.19498311818916,2.7121937530363582,0.060573188574184075,22.427631209349027,9.500013877418448,0.1,500,256,128,gru-bi1,20,0.0001,True,70,0.5,3e-12
0.045323972165233706,18.787616967764905,2.9717210943918455,0.05293335580151081,23.343470184286325,9.748389568507292,0.1,500,256,128,gru-bi1,20,0.0001,True,70,0.5,1e-12
0.05880938724817294,23.41312260784237,3.337827885733681,0.06893190978535027,27.29170352389696,9.469197235422339,0.1,500,256,128,gru-bi1,20,0.0001,True,50,0.5,1e-11
0.048700278508024934,22.583269512815257,3.720339388839161,0.055473320339833515,27.036019309795247,10.08907514440511,0.1,500,512,256,gru-bi1,20,0.0001,True,50,0.5,1e-12
0.03958018928358654,22.00061139066749,3.5991846634624753,0.04592317424679563,26.54879078354655,9.870190818738463,0.1,500,512,256,gru-bi1,20,0.0001,True,70,0.5,9e-13
